name,slug,description,tags,price,compare_at_price,sizes,colors,stock,local_image_files,image_match_status,variants
Premium cotton 60-60 suit set,premium-cotton-60-60-suit-set,"Elegant kurta with stylish printed yoke, matching pant &amp; beautiful contrast dupatta. Perfect for daily wear, office wear &amp; festive occasions. â¨ Premium Quality â¨ Comfortable cotton 60 60 Fabric â¨ Trendy &amp; Elegant Look ð Sizes: M to 3XL",Kurti pant dupatta set,920,,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],25,"[""../products/Premium cotton 60-60 suit set_1.webp"", ""../products/Premium cotton 60-60 suit set_2.webp"", ""../products/Premium cotton 60-60 suit set_3.webp"", ""../products/Premium cotton 60-60 suit set_4.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 920, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 920, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 920, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 920, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 920, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
Kurti with pant dupatta,kurti-with-pant-dupatta,"Â *Fabric: cotton 60 60 Kurti Length-45 pant.38.Duptta 2.10. full* *Work - hand work on yok and boder* *Size:M (38),L(40) XL(42) XXL (44) XXXL(46)* * *colour=3* Elegant design kurti pant with dupatta style for Everyday &amp; occasion wear",Kurti pant dupatta set,950,,"[""xl"", ""m"", ""l"", ""2xl"", ""3xl""]",[],24,"[""../products/Kurti with pant dupatta_1.webp"", ""../products/Kurti with pant dupatta_2.webp"", ""../products/Kurti with pant dupatta_3.webp""]",matched,"[{""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 4, ""available"": true}, {""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
Farsi Summer sets cotton suit,farsi-summer-sets-cotton-suit,"Â *Trending Farsi Summer suits ,Featuring beautiful Heavy Suit Set which is beautifully decorated with handwork weaving and prints. It i paired with matching pants and dupatta.* *Pattern*handcrafted Work yoke* *SET-PURE COTTON 60 60* *WORK-*handwork* *Dupatta Fabric -COTTON Full Duppta* *Farsi pant* *Inclusive: Top, Bottom &amp; Dupatta**[3 piece]*",,1050,,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],27,"[""../products/Farsi Summer sets cotton suit_1.webp"", ""../products/Farsi Summer sets cotton suit_2.webp"", ""../products/Farsi Summer sets cotton suit_3.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1050, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1050, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1050, ""compare_at_price"": null, ""inventory_quantity"": 6, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1050, ""compare_at_price"": null, ""inventory_quantity"": 6, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1050, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
Procin print kurti pant dupatta set,procin-print-kurti-pant-dupatta-set,Â Pure fine Cotton fabric Kurti with Pant with mulmul 100-100 Dupatta Â Fabric: *pure Cotton* *Procian print* Product: *Kurti + Pant + Dupatta*Â Type: *Fully stitched Â,Procin print kurti pant dupatta set,950,,"[""m"", ""l"", ""xl"", ""2xl""]","[""blue""]",21,"[""../products/Procin print kurti pant dupatta set_1.webp"", ""../products/Procin print kurti pant dupatta set_2.webp""]",matched,"[{""option1"": ""blue"", ""option2"": ""m"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""blue"", ""option2"": ""l"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 6, ""available"": true}, {""option1"": ""blue"", ""option2"": ""xl"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""blue"", ""option2"": ""2xl"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
Sunflower Hand Embroidery Farshi Salwar Set,sunflower-hand-embroidery-farshi-salwar-set,*ð»Sunflower Cord Set* â¤ï¸ Enjoy your Rakhi with our amazing Sunflower Hand Embroidery Farshi Salwar Set Pure CottonÂ *Fabric - Pure Cotton 60â60*,Farshi cord set,899,,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],26,"[""../products/Sunflower Hand Embroidery Farshi Salwar Set_1.webp"", ""../products/Sunflower Hand Embroidery Farshi Salwar Set_2.webp"", ""../products/Sunflower Hand Embroidery Farshi Salwar Set_3.webp"", ""../products/Sunflower Hand Embroidery Farshi Salwar Set_4.webp"", ""../products/Sunflower Hand Embroidery Farshi Salwar Set_5.webp"", ""../products/Sunflower Hand Embroidery Farshi Salwar Set_6.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 899, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 899, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 899, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 899, ""compare_at_price"": null, ""inventory_quantity"": 6, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 899, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
Kanjivaram suit set,kanjivaram-suit-set,Â *â Premium Malay Glass Tissue* *â Full Hand Work Waiving Jequard Work* *â Elegant Hand Work Neck* *Fabric - Pure Malay Glass Tissue* *Inclusive - Malay Glass Tissue kurta set + Pent + Jaqurd Dupatta (3 piece)ð¿*,Kanjivaram suit set,1399,1500,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],25,"[""../products/Kanjivaram suit set_1.webp"", ""../products/Kanjivaram suit set_2.webp"", ""../products/Kanjivaram suit set_3.webp"", ""../products/Kanjivaram suit set_4.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1399, ""compare_at_price"": 1500, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1399, ""compare_at_price"": 1500, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1399, ""compare_at_price"": 1500, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1399, ""compare_at_price"": 1500, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 1399, ""compare_at_price"": 1500, ""inventory_quantity"": 5, ""available"": true}]"
Navratri special suits,navratri-special-suits,Beautiful Nayra Cut Kurti with Original Mirror WorkÂ Material - Cotton60*60* *Work original mirror work* *Colours: Marron/Black* Kurti length - 48-50inches Pant length - 38 inches Dupatta length- 2.30 meter,Navratri special suits,970,1050,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]","[""black"", ""maroon""]",66,"[""../products/Navratri special suits_1.webp"", ""../products/Navratri special suits_2.webp"", ""../products/Navratri special suits_3.webp"", ""../products/Navratri special suits_4.webp""]",matched,"[{""option1"": ""black"", ""option2"": ""m"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""maroon"", ""option2"": ""m"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""black"", ""option2"": ""l"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""black"", ""option2"": ""xl"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 8, ""available"": true}, {""option1"": ""black"", ""option2"": ""2xl"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 6, ""available"": true}, {""option1"": ""black"", ""option2"": ""3xl"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 9, ""available"": true}, {""option1"": ""maroon"", ""option2"": ""l"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 7, ""available"": true}, {""option1"": ""maroon"", ""option2"": ""xl"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 7, ""available"": true}, {""option1"": ""maroon"", ""option2"": ""2xl"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 6, ""available"": true}, {""option1"": ""maroon"", ""option2"": ""3xl"", ""option3"": ""cotton"", ""sku"": null, ""price"": 970, ""compare_at_price"": 1050, ""inventory_quantity"": 8, ""available"": true}]"
Cotton siffily kurti pant dupatta set,cotton-siffily-kurti-pant-dupatta-set,"Pure cotton SHIFLLY+lino fabric party wear dress with shiffon lahariya (tie dye ) dupatta set Fabric __ pure cotton 60*60 super+ cotton SHIFLLY+*cotton inner* lino( self lining and square) fabric pure cotton 60*60 Kurta __ length 40+"" Lining __full cotton fabric lining attached Work __ *beautiful embroidery work and heavy lace work all over kurti* And full moti and sequence work in flowers print beautiful work Lases__ beautiful big size croashia lasses in kurti bottom or sleeve Pant fabric pure cotton 60*60 (SHIFLLY) with beautiful croashia lasses big size",Cotton siffily kurti set,999,1200,"[""m"", ""l"", ""xl"", ""2xl""]",[],20,"[""../products/Cotton siffily kurti pant dupatta set_1.webp"", ""../products/Cotton siffily kurti pant dupatta set_2.webp"", ""../products/Cotton siffily kurti pant dupatta set_3.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}]"
Anarkali kurti pant dupatta set,anarkali-kurti-pant-dupatta-set,Â ANARKALI kurta paired with matching pant made in primium pure cotton fabric with PRINTED duppta . Kurta with embroidery AND yog EMBROIDERY ðª¡ SIQUANCE WORK Size-38 to 46 (M to 3xl) Â,,999,,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],25,"[""../products/Anarkali kurti pant dupatta set_1.webp"", ""../products/Anarkali kurti pant dupatta set_2.webp"", ""../products/Anarkali kurti pant dupatta set_3.webp"", ""../products/Anarkali kurti pant dupatta set_4.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
New discharge print kurti pant dupatta set,new-discharge-print-kurti-pant-dupatta-set,"Â *Material* - cotton *Work* Mirror work *Size available*- *38,40,42,44,* Â","Cotton siffily kurti set, print kurti with pant",999,,"[""m"", ""l"", ""xl"", ""2xl""]",[],20,"[""../products/New discharge print kurti pant dupatta set_1.webp"", ""../products/New discharge print kurti pant dupatta set_2.webp"", ""../products/New discharge print kurti pant dupatta set_3.webp"", ""../products/New discharge print kurti pant dupatta set_4.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": null, ""inventory_quantity"": 5, ""available"": true}]"
Special cord set for festival session,special-cord-set-for-festival-session,"Â *Fabric - cotton 60-60* *Size - m(38), L(40),xl(42) xxl(44),46(3xl)* *Top - 3/4 sleeves look* *bottom - pant partten* *Work - Embroidery flower theard work* Â",,850,,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],50,"[""../products/Special cord set for festival session_1.webp"", ""../products/Special cord set for festival session_2.webp"", ""../products/Special cord set for festival session_3.webp"", ""../products/Special cord set for festival session_4.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 850, ""compare_at_price"": null, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 850, ""compare_at_price"": null, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 850, ""compare_at_price"": null, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 850, ""compare_at_price"": null, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 850, ""compare_at_price"": null, ""inventory_quantity"": 10, ""available"": true}]"
Farshi suit set,farshi-suit-set,Heavy Heart Embroidery &amp; Lace Work Farshi Dupatta Set. Stylish Embroidered Sleeves Lace Detailing On Kurta (34) with Embroidered Cotton Farshi Salwar (38) And Pure Cotton Malmal Dupatta (2.20),,970,1100,"[""m"", ""l"", ""xl"", ""2xl""]",[],40,"[""../products/Farshi suit set_1.webp"", ""../products/Farshi suit set_2.webp"", ""../products/Farshi suit set_3.webp""]",matched,"[{""option1"": ""m"", ""option2"": ""cotton"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""l"", ""option2"": ""cotton"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""xl"", ""option2"": ""cotton"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 10, ""available"": true}, {""option1"": ""2xl"", ""option2"": ""cotton"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 10, ""available"": true}]"
petrol blue suit,petrol-blue-suit,"Inclusive: Top, Bottom and DupptaÂ KURTI LENGTH - 46+INCHES * ONE SIDE POKET IN KURTI PANT LENGTH - 39 INCHES SLEEVES - 3/4 SLEEVE WITH BEAUTIFUL EMRODERYÂ FEBRIC - COTTON 60*60",,950,1200,"[""m"", ""xl"", ""l"", ""2xl"", ""3xl""]",[],25,"[""../products/petrol blue suit.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}]"
designer Cotton Kurta with Pant Set,designer-cotton-kurta-with-pant-set,"Length: Kurta pocket 44"", Bottom 38""duptta.2.20 Â Fabric: Soft 60s Premium Cotton Work: Premium Â hand work Jaipuri Print Â Pockets: Â Pant pocket with mayani dupattaÂ Â Daily wear, Office wear &amp; Casual outings ke liye perfect",,970,1100,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]",[],25,"[""../products/designer Cotton Kurta with Pant Set_1.webp"", ""../products/designer Cotton Kurta with Pant Set_2.webp"", ""../products/designer Cotton Kurta with Pant Set_3.webp""]",matched,"[{""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}]"
Cotton Kurta with skirt with malmal dupatta,cotton-kurta-with-skirt-with-malmal-dupatta,"Length: Kurta pocket 44"", skirt 38""duptta.2.20 Fabric: Soft 60s Premium Cotton Work: Premium Â hand work Jaipuri Print Pockets: Â skirt pocket Style: Daily wear, Office wear &amp; Casual outings ke liye perfect",,950,1100,"[""3xl"", ""2xl"", ""m"", ""l"", ""xl""]",[],25,"[""../products/Cotton Kurta with skirt with malmal dupatta_1.webp"", ""../products/Cotton Kurta with skirt with malmal dupatta_2.webp"", ""../products/Cotton Kurta with skirt with malmal dupatta_3.webp""]",matched,"[{""option1"": ""3xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""m"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": """", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1100, ""inventory_quantity"": 5, ""available"": true}]"
Premium Cotton Kurti Pant Dupatta Set,premium-cotton-kurti-pant-dupatta-set,It Comes With Pure Cotton Fabric:- Premium Cotton 60-60 Work: Full heavy Embroidery,,999,1400,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]","[""pink"", ""blue"", ""beige""]",74,"[""../products/Premium Cotton Kurti Pant Dupatta Set_1.webp"", ""../products/Premium Cotton Kurti Pant Dupatta Set_2.webp"", ""../products/Premium Cotton Kurti Pant Dupatta Set_3.webp"", ""../products/Premium Cotton Kurti Pant Dupatta Set_4.webp"", ""../products/Premium Cotton Kurti Pant Dupatta Set_5.webp"", ""../products/Premium Cotton Kurti Pant Dupatta Set_6.webp""]",matched,"[{""option1"": ""pink"", ""option2"": ""m"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""pink"", ""option2"": ""l"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""pink"", ""option2"": ""xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""pink"", ""option2"": ""2xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""pink"", ""option2"": ""3xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""blue"", ""option2"": ""m"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""blue"", ""option2"": ""l"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""blue"", ""option2"": ""xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""blue"", ""option2"": ""2xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 4, ""available"": true}, {""option1"": ""blue"", ""option2"": ""3xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""beige"", ""option2"": ""m"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""beige"", ""option2"": ""l"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""beige"", ""option2"": ""xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""beige"", ""option2"": ""2xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""beige"", ""option2"": ""3xl"", ""option3"": """", ""sku"": null, ""price"": 999, ""compare_at_price"": 1400, ""inventory_quantity"": 5, ""available"": true}]"
Angrakha style kurta set,angrakha-style-kurta-set,Material - cottonÂ Work sequence katha Â work Kurti length - 48-50inches Pant length - 38 inches Dupatta length- 2.1meterÂ,,950,1200,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]","[""red""]",25,"[""../products/Angrakha style kurta set_1.webp"", ""../products/Angrakha style kurta set_2.webp""]",matched,"[{""option1"": ""m"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 950, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}]"
Cotton Kurta pent and Dupatta Sets,cotton-kurta-pent-and-dupatta-sets,Inclusive: Top &amp; Bottom with dupattaÂ KURTI LENGTH - 46-INCHES PANT LENGTH - 39 INCHES SLEEVES - 3/4 SLEEVEÂ FABRIC - COTTON 60*60,,970,1200,"[""m"", ""l"", ""xl"", ""2xl"", ""3xl""]","[""red""]",25,"[""../products/Cotton Kurta pent and Dupatta Sets_1.webp"", ""../products/Cotton Kurta pent and Dupatta Sets_2.webp"", ""../products/Cotton Kurta pent and Dupatta Sets_3.webp""]",matched,"[{""option1"": ""m"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""l"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""xl"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""2xl"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}, {""option1"": ""3xl"", ""option2"": ""red"", ""option3"": """", ""sku"": null, ""price"": 970, ""compare_at_price"": 1200, ""inventory_quantity"": 5, ""available"": true}]"
